Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1223771,I Explain a Few Things: Selected Poems (English and Spanish Edition),Pablo Neruda,"Neruda, Pablo",Ilan Stavans,"=""0374260796""","=""9780374260798""",0,4.29,"Farrar, Straus and Giroux",Paperback,358,2007,2007,,2019/07/19,to-read,to-read (#126),to-read,,,,0,0
9328,The House of the Spirits,Isabel Allende,"Allende, Isabel",Magda Bogin,"=""0553383809""","=""9780553383805""",5,4.28,Dial Press Trade Paperback,Paperback,448,2005,1982,2019/07/19,2019/07/04,,,read,,,,1,0
38463,If Beale Street Could Talk,James Baldwin,"Baldwin, James",,"=""0307275930""","=""9780307275936""",4,4.27,Vintage,Paperback,197,2006,1974,2019/07/17,2019/07/06,,,read,,,,1,0
37959904,Unsheltered,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0062865501""","=""9780062865502""",4,3.65,HarperAudio,Audiobook,,2018,2018,2019/07/04,2019/07/04,,,read,,,,1,0
7763,The Joy Luck Club,Amy Tan,"Tan, Amy",,"=""""","=""""",5,3.97,Penguin Books,Paperback,352,2006,1989,2019/07/04,2017/12/17,,,read,,,,1,0
8414177,Generous Justice: How God's Grace Makes Us Just,Timothy J. Keller,"Keller, Timothy J.",,"=""0525951903""","=""9780525951902""",5,4.23,Viking,Hardcover,256,2010,2010,2019/07/04,2019/07/04,,,read,,,,1,0
72003,Angels in America,Tony Kushner,"Kushner, Tony",,"=""1559362316""","=""9781559362313""",0,4.28,Theatre Communications Group,Paperback,304,2003,1993,,2019/04/12,to-read,to-read (#125),to-read,,,,0,0
2102113,Bananas: How The United Fruit Company Shaped the World,Peter  Chapman,"Chapman, Peter",,"=""1841958816""","=""9781841958811""",5,3.48,Canongate U.S.,Hardcover,272,2008,2007,2019/06/21,2019/06/20,,,read,,,,1,0
22674105,"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,"Kwan, Kevin",,"=""0385539088""","=""9780385539081""",3,3.84,Knopf Doubleday,Hardcover,378,2015,2015,2019/06/20,2019/06/20,,,read,,,,1,0
29864343,"Rich People Problems (Crazy Rich Asians, #3)",Kevin Kwan,"Kwan, Kevin",,"=""0385542232""","=""9780385542234""",3,3.95,Doubleday,Hardcover,398,2017,2017,2019/06/20,2019/06/20,,,read,,,,1,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",0,4.38,Atria Books,Hardcover,337,2014,2012,,2019/06/16,to-read,to-read (#124),to-read,,,,0,0
14249,Prodigal Summer,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060959037""","=""9780060959036""",5,4.04,Harper Perennial,Paperback,444,2001,2000,2019/06/01,2019/06/01,,,read,,,,1,0
30165203,American Gods,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,4.11,William Morrow,Kindle Edition,635,2011,2001,,2019/05/22,to-read,to-read (#123),to-read,,,,0,0
22571513,The River Between (Penguin African Writers Series),Ngũgĩ wa Thiong'o,"Thiong'o, Ngũgĩ wa",Uzodinma Iweala,"=""0143107496""","=""9780143107491""",4,3.79,Penguin Classics,Paperback,148,2015,1965,2019/05/02,2019/04/23,,,read,,,,1,0
906560,Tramp for the Lord,Corrie ten Boom,"Boom, Corrie ten",,"=""0515089931""","=""9780515089936""",0,4.49,Berkley Books,Mass Market Paperback,192,1978,1971,,2019/04/20,to-read,to-read (#122),to-read,,,,0,0
23316552,Ebola: The Natural and Human History of a Deadly Virus,David Quammen,"Quammen, David",,"=""0393351556""","=""9780393351552""",5,4.18,W. W. Norton & Company,Paperback,128,2014,2014,2019/03/07,2019/03/07,,,read,,,,1,0
22244929,All Who Go Do Not Return,Shulem Deen,"Deen, Shulem",,"=""1555977057""","=""9781555977054""",3,4.29,Graywolf Press,Paperback,310,2015,2015,2019/03/07,2019/03/07,,,read,,,,1,0
27213168,I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,"Yong, Ed",,"=""0062368591""","=""9780062368591""",0,4.18,Ecco,Hardcover,368,2016,2016,,2019/03/07,to-read,to-read (#121),to-read,,,,0,0
23492288,"Hidden Bodies (You, #2)",Caroline Kepnes,"Kepnes, Caroline",,"=""""","=""""",0,3.74,Atria/Emily Bestler Books,Kindle Edition,448,2016,2016,,2019/01/31,to-read,to-read (#120),to-read,,,,0,0
20821614,"You (You, #1)",Caroline Kepnes,"Kepnes, Caroline",,"=""1476785597""","=""9781476785592""",0,3.96,Atria/Emily Bestler Books,Hardcover,424,2014,2014,,2019/01/31,to-read,to-read (#119),to-read,,,,0,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",5,4.45,Crown,Hardcover,426,2018,2018,2019/01/24,2019/01/18,,,read,,,,1,0
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",5,4.07,Penguin Press,Hardcover,338,2017,2017,2019/01/24,2019/01/24,,,read,,,,1,0
2767,A People’s History of the United States: 1492 - Present,Howard Zinn,"Zinn, Howard",,"=""0060838655""","=""9780060838652""",0,4.08,Harper Perennial,Paperback,729,1995,1980,,2019/01/18,to-read,to-read (#118),to-read,,,,0,0
7000646,Tangled Ashes,Michèle Phoenix,"Phoenix, Michèle",,"=""1608440915""","=""9781608440917""",0,3.68,Dog Ear Pub Llc,Paperback,374,2009,2009,,2018/08/06,to-read,to-read (#117),to-read,,,,0,0
