Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9412055,"Emily, Alone (Emily Maxwell, #2)",Stewart O'Nan,"O'Nan, Stewart",,"=""0670022357""","=""9780670022359""",0,3.68,Viking,Hardcover,255,2011,2011,,2021/03/02,to-read,to-read (#439),to-read,,,,0,0
321623,A Prayer for the Dying,Stewart O'Nan,"O'Nan, Stewart",,"=""0312255012""","=""9780312255015""",0,3.99,Picador,Paperback,208,2000,1999,,2021/03/02,to-read,to-read (#438),to-read,,,,0,0
228344,Wish You Were Here,Stewart O'Nan,"O'Nan, Stewart",,"=""0802139892""","=""9780802139894""",0,3.33,Grove Press,Paperback,528,2003,2002,,2021/03/02,to-read,to-read (#437),to-read,,,,0,0
217319,The Good Wife,Stewart O'Nan,"O'Nan, Stewart",,"=""0312425015""","=""9780312425012""",0,3.61,Picador,Paperback,312,2006,2005,,2021/03/02,to-read,to-read (#436),to-read,,,,0,0
40896464,"Henry, Himself",Stewart O'Nan,"O'Nan, Stewart",,"=""0735223041""","=""9780735223042""",0,3.78,Penguin,Hardcover,384,2019,2019,,2021/03/02,to-read,to-read (#435),to-read,,,,0,0
53138081,The Four Winds,Kristin Hannah,"Hannah, Kristin",,"=""""","=""""",0,4.30,St. Martin's Press,Hardcover,464,2021,2021,,2021/02/28,to-read,to-read (#434),to-read,,,,0,0
31952703,Words in Deep Blue,Cath Crowley,"Crowley, Cath",,"=""1101937645""","=""9781101937648""",0,3.99,Knopf Books for Young Readers,Hardcover,273,2017,2016,,2021/02/28,to-read,to-read (#433),to-read,,,,0,0
36059431,The City Where We Once Lived,Eric Barnes,"Barnes, Eric",,"=""1628728833""","=""9781628728835""",0,3.78,Arcade,Hardcover,272,2018,2018,,2021/02/28,to-read,to-read (#431),to-read,,,,0,0
34959502,Devotions: A Read with Jenna Pick: The Selected Poems of Mary Oliver,Mary Oliver,"Oliver, Mary",,"=""0399563253""","=""9780399563256""",0,4.58,Penguin Books,Kindle Edition,480,2017,2017,,2021/02/19,"currently-reading, poetry","currently-reading (#3), poetry (#3)",currently-reading,,,,1,0
18743339,"Harbour Street (Vera Stanhope, #6)",Ann Cleeves,"Cleeves, Ann",,"=""1447254465""","=""9781447254461""",4,4.15,Macmillan,Paperback,400,2014,2014,2020/08/04,2020/07/08,mystery-vera,mystery-vera (#6),read,,,,1,0
12034917,"The Glass Room (Vera Stanhope, #5)",Ann Cleeves,"Cleeves, Ann",,"=""0230745822""","=""9780230745827""",0,4.03,Macmillan,Hardcover,373,2012,2012,,2021/02/19,mystery-vera,mystery-vera (#5),read,,,,0,0
16045218,"Silent Voices (Vera Stanhope, #4)",Ann Cleeves,"Cleeves, Ann",,"=""1250033586""","=""9781250033581""",0,4.11,Minotaur Books,Hardcover,320,2013,2011,,2021/02/19,mystery-vera,mystery-vera (#4),read,,,,0,0
16948,"Children of God (The Sparrow, #2)",Mary Doria Russell,"Russell, Mary Doria",,"=""044900483X""","=""9780449004838""",0,4.09,Fawcett Books,Paperback,451,1999,1998,,2021/02/15,to-read,to-read (#430),to-read,,,,0,0
