Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30010106,Liturgy of the Ordinary: Sacred Practices in Everyday Life,Tish Harrison Warren,"Warren, Tish Harrison",Andy Crouch,"=""0830846239""","=""9780830846238""",4,4.32,InterVarsity Press,Paperback,184,2016,2016,2023/03/03,2023/02/28,want-to-own-a-copy-of,want-to-own-a-copy-of (#1),read,"This book explores and considers some fascinating ideas about connecting one’s daily moments and practices to the worship of God. I found it useful and engaging, and would recommend it for the considerations it presents.",,,1,0
146153,What Are People For?,Wendell Berry,"Berry, Wendell",,"=""0865474370""","=""9780865474376""",0,4.22,North Point Press,Paperback,210,1990,1990,,2023/02/28,to-read,to-read (#43),to-read,,,,0,0
16211570,"Shaping a Digital World: Faith, Culture and Computer Technology",Derek C. Schuurman,"Schuurman, Derek C.",,"=""0830827137""","=""9780830827138""",5,3.76,IVP Academic,Paperback,138,2013,2013,2022/09/05,2022/09/05,want-to-own-a-copy-of,want-to-own-a-copy-of (#2),read,"I found this book really fascinating, even as I had to read it for school. It frames technology and its developments and consequences in a good way, showing how there latent possibilities in creation for technology and then how it’s used with creational norms and all of that. Also, it takes a lot from other places like Scripture and other authors in the field, such as Frederick Brooks and some of his books, among others. Overall, this book is very well done and was quite well researched, and encouraged me to consider diving into this topic a bit further on my own with its excellent bibliography.",,,1,0
60679264,How It Went: Thirteen More Stories of the Port William Membership,Wendell Berry,"Berry, Wendell",,"=""1640095810""","=""9781640095816""",0,4.37,Counterpoint,Hardcover,240,2022,,,2023/02/23,currently-reading,currently-reading (#1),currently-reading,,,,1,0
83763,Prey,Michael Crichton,"Crichton, Michael",,"=""0061015725""","=""9780061015724""",5,3.78,Avon,Paperback,507,2004,2002,2023/01/23,2023/01/23,,,read,"More fantastic work from Michael Crichton! He does an excellent job of exploring through this story a fascinating topic, and I also loved the little bit of cynicism towards corporations hehe. Overall, great read, would recommend! Exhilarating to the finish!",,,1,0
63376546,Stolen Focus: Why You Can't Pay Attention--and How to Think Deeply Again,Johann Hari,"Hari, Johann",,"=""0593138538""","=""9780593138533""",0,4.24,Crown,Paperback,368,2023,2022,,2023/01/12,to-read,to-read (#42),to-read,,,,0,0
52880778,"Red Rising (Red Rising, #1)",Pierce Brown,"Brown, Pierce",,"=""034553980X""","=""9780345539809""",0,4.27,Del Rey,Paperback,400,2014,2014,,2023/01/04,to-read,to-read (#41),to-read,,,,0,0
60021166,"You've Been Played: How Corporations, Governments, and Schools Use Games to Control Us All",Adrian Hon,"Hon, Adrian",,"=""1668611767""","=""9781668611760""",4,3.79,Basic Books,Audiobook,,2022,,2022/12/30,2022/12/27,,,read,"Really interesting book. Explained a lot about the different ways in which gamification is used in our society, whether in schools, government, lifestyle, work, and even online conspiracy theories. It was fascinating seeing the ways in which gamification is used to coerce behavior and how that is not proven to be very effective. While I wasn’t quite in agreement on every thing he said, overall it was an enjoyable read. ",,,1,0
365,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,3.97,Pocket Books,Mass Market Paperback,306,2002,1987,2022/11/09,2022/02/06,,,read,,,,1,0
42248511,Confronting Christianity: 12 Hard Questions for the World's Largest Religion,Rebecca McLaughlin,"McLaughlin, Rebecca",,"=""1433564238""","=""9781433564239""",5,4.32,Crossway,Hardcover,239,2019,2019,2022/10/27,2022/10/27,,,read,,,,1,0
134825,The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary,Eric S. Raymond,"Raymond, Eric S.",,"=""0596001088""","=""9780596001087""",4,3.83,O'Reilly Media,Paperback,241,2001,1999,2022/10/24,2022/09/12,,,read,,,,1,0
46654,"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,"Asimov, Isaac",,"=""0380508567""","=""9780380508563""",5,4.42,,Mass Market Paperback,679,1974,1953,2022/10/10,2022/09/15,,,read,"Amazing book, lots of great twists and intrigue. Really neat how it goes through some of the history of the Foundation through the eyes of different people in it. Will definitely be reading the some of the other books in the series next. ",,,1,0
455373,Sphere,Michael Crichton,"Crichton, Michael",,"=""""","=""""",5,3.83,Ballantine Books,Paperback,371,1997,1987,2022/09/11,2022/02/06,,,read,,,,1,0
13629,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",,"=""0201835959""","=""9780201835953""",0,4.01,Addison-Wesley Professional,Paperback,322,1995,1975,,2022/08/28,to-read,to-read (#39),to-read,,,,0,0
36436059,Why I Am Not Going to Buy a Computer,Wendell Berry,"Berry, Wendell",,"=""0241337569""","=""9780241337561""",0,3.68,Penguin UK,Paperback,48,2018,1987,,2022/08/25,to-read,to-read (#38),to-read,,,,0,0
16902,Walden,Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,"=""""","=""""",0,3.78,Princeton University Press,Paperback,352,2004,1854,,2022/08/25,to-read,to-read (#37),to-read,,,,0,0
9778945,The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,"Carr, Nicholas",,"=""0393339750""","=""9780393339758""",0,3.89,W. W. Norton & Company,Paperback,280,2011,2010,,2022/08/25,to-read,to-read (#36),to-read,,,,0,0
30754011,Cutting Back: My Apprenticeship in the Gardens of Kyoto,Leslie Buck,"Buck, Leslie",,"=""1604697938""","=""9781604697933""",4,3.66,Timber Press,Hardcover,280,2017,,2022/08/23,2022/08/01,,,read,,,,1,0
63775,"Moonseed (NASA Trilogy, #3)",Stephen Baxter,"Baxter, Stephen",,"=""006105903X""","=""9780061059032""",5,3.75,Harper Voyager ,Mass Market Paperback,672,1999,1998,2022/08/14,2022/06/19,,,read,,,,1,0
57933306,Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,Johann Hari,"Hari, Johann",,"=""0593138511""","=""9780593138519""",0,4.24,Crown,Hardcover,357,2022,2022,,2022/07/30,to-read,to-read (#35),to-read,,,,0,0
